year,uhf_code,neighborhood,mold_complaints,PM_Avg,NO2_Avg,PM_tertiles,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles,age_adjusted_asthma_percent,estimated_adults_with_asthma,age_adjusted_ed_rate_per_10k,estimated_annual_ed_visits,ed_rate_per_10k_age_0_4,estimated_annual_ed_visits_age_0_4,ed_rate_per_10k_age_5_17,estimated_annual_ed_visits_age_5_17,poverty_rate,households_below_poverty,statistically_significant
2020,401,Long Island City - Astoria,7,7.2877720638,19.031291852000003,High,High,High,High,High,Medium,14.5,24000.0,25.9,434.0,42.5,45.0,33.8,74.0,11.0,"23,169",False
2020,102,Northeast Bronx,9,6.835173155,15.691413982222223,Medium,Medium,Medium,Medium,Medium,Medium,25.0,35000.0,67.0,1039.0,119.4,142.0,75.0,251.0,14.8,"30,694",True
2020,501502,Northern SI,0,,,,,,,,,14.0,20000.0,,,,,,,,,False
2020,104,Pelham - Throgs Neck,8,6.965391945333334,16.102553513333334,High,High,Medium,Medium,High,High,19.7,45000.0,65.6,1554.0,83.9,165.0,68.6,359.0,20.3,"61,654",False
2020,405,Ridgewood - Forest Hills,5,7.1075939515,17.931760173333334,Medium,Medium,Medium,Medium,High,Medium,12.1,24000.0,18.3,382.0,24.3,40.0,20.1,74.0,9.1,"24,754",False
2020,410,Rockaways,20,6.199843591666667,9.518280821333333,Low,Low,Medium,Medium,High,Low,25.8,20000.0,64.3,625.0,48.1,50.0,44.3,109.0,18.0,"23,622",True
2020,105106107,South Bronx,0,,,,,,,,,20.7,79000.0,,,,,,,,,False
2020,409,Southeast Queens,2,6.5826964821428575,15.808848294285713,Low,Low,Medium,Low,High,Medium,15.3,25000.0,26.8,451.0,38.6,44.0,30.6,96.0,6.2,"20,468",False
2020,503504,Southern SI,0,,,,,,,,,13.3,29000.0,,,,,,,,,False
2020,407,Southwest Queens,26,6.6458494355,16.32830990375,Medium,Medium,Medium,Medium,High,Medium,10.1,21000.0,26.2,586.0,43.9,78.0,28.2,135.0,10.4,"30,446",False
2020,205,Sunset Park,2,7.678740037,23.080873005,High,High,High,High,High,High,9.8,10000.0,26.4,245.0,27.7,26.0,21.7,41.0,20.8,"24,717",True
2020,309310,Union Square-Lower Manhattan,0,,,,,,,,,15.3,32000.0,,,,,,,,,False
2020,305307,Upper East Side-Gramercy,0,,,,,,,,,11.3,38000.0,,,,,,,,,False
2020,304,Upper West Side,11,6.814579033666667,17.23523678333333,Medium,High,High,High,Low,High,16.2,34000.0,21.2,404.0,21.6,25.0,38.7,87.0,11.0,"24,913",False
2020,301,Washington Heights,2,7.352230941333334,20.38227869,High,High,High,High,Medium,High,16.6,33000.0,31.4,704.0,75.3,104.0,45.1,154.0,18.4,"49,315",False
2020,402,West Queens,4,7.103505838875,18.9346474325,High,High,High,High,High,High,8.7,32000.0,18.7,698.0,47.4,144.0,37.7,251.0,12.5,"57,605",False
2020,211,Williamsburg - Bushwick,6,6.9923345998,17.348321816000002,High,High,High,High,High,High,11.6,17000.0,87.6,1499.0,78.4,129.0,71.9,283.0,27.1,"62,519",False
