NTACODE,NTA_NAME,PM_Avg,PM_tertiles,NO2_Avg,NO2_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
BX0802,Kingsbridge-Marble Hill,6.730457663,High,14.01534685,Medium,Medium,High,Medium,High
BX0803,Riverdale-Spuyten Duyvil,6.701753832,Medium,14.25237294,Low,High,Medium,Low,Medium
BX0901,Soundview-Bruckner-Bronx River,7.07208976,High,15.23436708,High,High,High,High,High
BX0902,Soundview-Clason Point,7.08305951,Medium,16.56244899,Medium,Low,Medium,Medium,Medium
BX0903,Castle Hill-Unionport,6.552151833,High,14.74120511,High,Medium,Medium,High,High
BX0904,Parkchester,7.228756346,High,16.36299727,High,Medium,High,Medium,Medium
BX0991,Soundview Park,7.068363551,Medium,15.42945494,Low,Low,Low,Low,Low
BX1001,Westchester Square,7.115267657,High,17.20345816,High,Medium,Medium,High,Low
BX1002,Throgs Neck-Schuylerville,6.447345109,Medium,14.13809672,Medium,Medium,Low,High,Medium
BX1003,Pelham Bay-Country Club-City Island,6.953319076,Medium,18.35938128,Medium,Medium,Medium,Medium,Low
BX1004,Co-op City,7.02798012,Medium,17.31773103,Medium,Medium,High,Medium,High
BX1071,Hart Island,6.561566344,Medium,11.62002506,Low,Low,Low,Low,Low
BX1091,Ferry Point Park-St. Raymond Cemetery,6.432759831,Medium,14.59727038,Medium,Low,Low,Low,High
BX1101,Pelham Parkway-Van Nest,7.026159391,High,18.8264972,Medium,Medium,High,High,Medium
BX1102,Morris Park,7.115076052,High,17.14637621,Medium,Medium,Medium,Medium,Low
BX1103,Pelham Gardens,6.726778502,Medium,14.63939726,Medium,Low,Medium,Medium,Low
BX1104,Allerton,6.855308684,Medium,14.78486339,Medium,Medium,High,Medium,Medium
BX1161,Hutchinson Metro Center,7.045099108,High,15.85468867,High,Low,Medium,High,High
BX1201,Williamsbridge-Olinville,6.920953092,Medium,15.10117815,Medium,Medium,Medium,Medium,Medium
BX1202,Eastchester-Edenwald-Baychester,6.758212839,Medium,14.98309237,Medium,Medium,Medium,High,Medium
BX1203,Wakefield-Woodlawn,6.711584921,Medium,14.75260943,Medium,Medium,Medium,High,Medium
BX1271,Woodlawn Cemetery,6.775516113,Medium,14.49321962,Low,Low,Low,Low,Low
BX2691,Van Cortlandt Park,6.994695449,Medium,16.48401871,Low,Low,Low,Low,High
BX2791,Bronx Park,6.762073019,Medium,14.69399478,Low,Low,Low,Low,High
BX2891,Pelham Bay Park,6.947157515,Medium,17.45340661,Low,Low,Low,Low,Medium
MN0101,Financial District-Battery Park City,6.772127396,High,18.27847054,High,High,High,Low,High
MN0102,Tribeca-Civic Center,7.283756478,High,23.04640829,High,High,High,Medium,High
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,6.29718252,Low,16.16002983,Low,Low,Low,Low,Low
MN0201,SoHo-Little Italy-Hudson Square,7.886961229,High,22.50072204,High,High,High,Medium,High
MN0202,Greenwich Village,8.163437218,High,22.16293747,High,High,High,Low,Medium
MN0203,West Village,7.095849242,High,18.54547307,High,High,High,Medium,High
MN0301,Chinatown-Two Bridges,7.312279781,High,22.26907081,High,High,High,Medium,High
MN0302,Lower East Side,7.167494764,High,18.41259456,High,High,High,Medium,High
MN0303,East Village,8.305695305,High,21.56441929,High,High,High,Medium,High
MN0401,Chelsea-Hudson Yards,8.453053146,High,22.54449791,High,High,High,High,High
MN0402,Hell's Kitchen,8.180279885,High,26.072936,High,High,High,High,High
MN0501,Midtown South-Flatiron-Union Square,8.30051421,High,24.5910966,High,High,High,Medium,High
MN0502,Midtown-Times Square,8.60774718,High,26.7474837,High,High,High,Medium,High
MN0601,Stuyvesant Town-Peter Cooper Village,7.343140006,High,17.66283443,High,Low,Low,Medium,High
MN0602,Gramercy,7.986895096,High,21.28820127,High,High,High,Low,Medium
MN0603,Murray Hill-Kips Bay,7.843805112,High,21.80980112,High,High,High,Low,High
MN0604,East Midtown-Turtle Bay,8.23797553,High,28.71413916,High,High,High,Low,High
MN0661,United Nations,7.183538568,High,21.5984771,High,Low,High,Low,High
MN0701,Upper West Side-Lincoln Square,6.844835712,High,16.98835463,High,High,High,Low,High
MN0702,Upper West Side (Central),6.808087483,Medium,18.03399175,High,High,High,Low,High
MN0703,Upper West Side-Manhattan Valley,6.790813906,Medium,16.68336397,High,Medium,High,Medium,High
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,6.951849117,High,16.13199356,High,High,High,Medium,High
MN0802,Upper East Side-Carnegie Hill,7.643881119,High,24.111498,High,High,High,Low,Medium
MN0803,Upper East Side-Yorkville,7.014846959,High,19.92324241,High,High,High,Medium,High
MN0901,Morningside Heights,6.797399832,High,15.75857664,High,Medium,High,Low,High
