year,uhf_code,neighborhood,ed_rate_per_10k_age_0_4,estimated_annual_ed_visits_age_0_4,unstable_estimate
2010,302,Central Harlem - Morningside Heights,783.2,740.0,False
2010,306,Chelsea - Clinton,172.5,82.0,False
2010,210,Coney Island - Sheepshead Bay,116.6,200.0,False
2010,105,Crotona - Tremont,824.9,1460.0,False
2010,202,Downtown - Heights - Slope,231.9,368.0,False
2010,207,East Flatbush - Flatbush,436.5,850.0,False
2010,303,East Harlem,1012.2,675.0,False
2010,204,East New York,627.2,903.0,False
2010,403,Flushing - Clearview,144.6,185.0,False
2010,103,Fordham - Bronx Pk,471.4,945.0,False
2010,406,Fresh Meadows,146.5,94.0,False
2010,307,Gramercy Park - Murray Hill,220.4,99.0,False
2010,201,Greenpoint,179.7,173.0,False
2010,308,Greenwich Village - SoHo,77.4,26.0,False
2010,106,High Bridge - Morrisania,979.9,1707.0,False
2010,107,Hunts Point - Mott Haven,952.3,1105.0,False
2010,408,Jamaica,575.1,1029.0,False
2010,101,Kingsbridge - Riverdale,231.9,127.0,False
2010,401,Long Island City - Astoria,233.2,242.0,False
2010,310,Lower Manhattan,155.5,51.0,False
2010,102,Northeast Bronx,301.5,347.0,False
2010,104,Pelham - Throgs Neck,473.4,932.0,False
2010,501,Port Richmond,281.2,150.0,False
2010,405,Ridgewood - Forest Hills,204.3,296.0,False
2010,410,Rockaways,475.3,423.0,False
2010,504,South Beach - Tottenville,72.8,76.0,False
2010,409,Southeast Queens,327.1,339.0,False
2010,407,Southwest Queens,351.0,568.0,False
2010,502,Stapleton - St. George,247.7,190.0,False
2010,205,Sunset Park,165.6,161.0,False
2010,309,Union Square - Lower East Side,402.1,285.0,False
2010,305,Upper East Side,109.0,123.0,False
2010,304,Upper West Side,206.2,240.0,False
2010,301,Washington Heights,469.6,648.0,False
2010,402,West Queens,251.3,801.0,False
2010,211,Williamsburg - Bushwick,721.1,1152.0,False
2010,503,Willowbrook,118.9,58.0,False
2011,404,Bayside - Little Neck,84.8,35.0,False
2011,203,Bedford Stuyvesant - Crown Heights,652.0,1482.0,False
2011,209,Bensonhurst - Bay Ridge,72.5,91.0,False
2011,206,Borough Park,73.9,237.0,False
2011,208,Canarsie - Flatlands,331.4,396.0,False
2011,302,Central Harlem - Morningside Heights,817.0,805.0,False
2011,306,Chelsea - Clinton,185.7,93.0,False
2011,210,Coney Island - Sheepshead Bay,107.7,187.0,False
2011,105,Crotona - Tremont,772.8,1401.0,False
2011,202,Downtown - Heights - Slope,250.1,406.0,False
2011,207,East Flatbush - Flatbush,411.7,821.0,False
2011,303,East Harlem,897.2,630.0,False
2011,204,East New York,624.1,924.0,False
2011,403,Flushing - Clearview,123.6,162.0,False
2011,103,Fordham - Bronx Pk,415.7,858.0,False
2011,406,Fresh Meadows,151.7,100.0,False
2011,307,Gramercy Park - Murray Hill,128.7,61.0,False
2011,201,Greenpoint,156.3,151.0,False
2011,308,Greenwich Village - SoHo,50.9,18.0,False
2011,106,High Bridge - Morrisania,884.1,1576.0,False
2011,107,Hunts Point - Mott Haven,895.6,1065.0,False
2011,408,Jamaica,504.8,922.0,False
2011,101,Kingsbridge - Riverdale,200.5,118.0,False
2011,401,Long Island City - Astoria,190.1,203.0,False
2011,310,Lower Manhattan,124.1,43.0,False
2011,102,Northeast Bronx,315.8,373.0,False
2011,104,Pelham - Throgs Neck,507.4,1038.0,False
2011,501,Port Richmond,379.9,203.0,False
2011,405,Ridgewood - Forest Hills,199.3,297.0,False
2011,410,Rockaways,364.4,332.0,False
2011,504,South Beach - Tottenville,85.5,89.0,False
2011,409,Southeast Queens,304.3,322.0,False
2011,407,Southwest Queens,343.8,570.0,False
2011,502,Stapleton - St. George,287.4,221.0,False
2011,205,Sunset Park,180.6,181.0,False
2011,309,Union Square - Lower East Side,474.8,361.0,False
2011,305,Upper East Side,83.0,98.0,False
2011,304,Upper West Side,166.8,203.0,False
2011,301,Washington Heights,459.4,669.0,False
2011,402,West Queens,248.3,811.0,False
2011,211,Williamsburg - Bushwick,712.2,1162.0,False
2011,503,Willowbrook,135.3,66.0,False
2012,404,Bayside - Little Neck,71.9,30.0,False
2012,203,Bedford Stuyvesant - Crown Heights,614.2,1452.0,False
2012,209,Bensonhurst - Bay Ridge,80.9,103.0,False
2012,206,Borough Park,72.0,232.0,False
2012,208,Canarsie - Flatlands,319.3,395.0,False
2012,302,Central Harlem - Morningside Heights,907.5,919.0,False
2012,306,Chelsea - Clinton,154.4,80.0,False
2012,210,Coney Island - Sheepshead Bay,118.6,208.0,False
2012,105,Crotona - Tremont,782.0,1431.0,False
2012,202,Downtown - Heights - Slope,273.6,453.0,False
2012,207,East Flatbush - Flatbush,405.1,838.0,False
2012,303,East Harlem,806.9,587.0,False
2012,204,East New York,541.3,829.0,False
2012,403,Flushing - Clearview,111.9,148.0,False
2012,103,Fordham - Bronx Pk,602.9,1260.0,False
2012,406,Fresh Meadows,104.9,70.0,False
2012,307,Gramercy Park - Murray Hill,114.1,56.0,False
2012,201,Greenpoint,151.1,146.0,False
2012,308,Greenwich Village - SoHo,46.4,17.0,False
2012,106,High Bridge - Morrisania,879.7,1583.0,False
2012,107,Hunts Point - Mott Haven,937.4,1125.0,False
2012,408,Jamaica,442.6,819.0,False
2012,101,Kingsbridge - Riverdale,283.5,174.0,False
2012,401,Long Island City - Astoria,171.3,186.0,False
2012,310,Lower Manhattan,75.2,27.0,False
2012,102,Northeast Bronx,514.6,617.0,False
2012,104,Pelham - Throgs Neck,570.7,1190.0,False
2012,501,Port Richmond,359.2,191.0,False
2012,405,Ridgewood - Forest Hills,178.4,270.0,False
2012,410,Rockaways,248.7,230.0,False
2012,504,South Beach - Tottenville,73.2,75.0,False
2012,409,Southeast Queens,285.6,306.0,False
2012,407,Southwest Queens,298.4,502.0,False
2012,502,Stapleton - St. George,274.1,209.0,False
2012,205,Sunset Park,143.3,147.0,False
2012,309,Union Square - Lower East Side,394.7,315.0,False
2012,305,Upper East Side,100.2,122.0,False
2012,304,Upper West Side,174.8,219.0,False
2012,301,Washington Heights,406.4,614.0,False
2012,402,West Queens,236.3,784.0,False
2012,211,Williamsburg - Bushwick,623.9,1039.0,False
2012,503,Willowbrook,110.2,53.0,False
2013,404,Bayside - Little Neck,52.0,23.0,False
2013,203,Bedford Stuyvesant - Crown Heights,585.6,1353.0,False
2013,209,Bensonhurst - Bay Ridge,68.7,96.0,False
2013,206,Borough Park,63.9,223.0,False
2013,208,Canarsie - Flatlands,294.2,359.0,False
2013,302,Central Harlem - Morningside Heights,789.4,813.0,False
2013,306,Chelsea - Clinton,126.2,66.0,False
2013,210,Coney Island - Sheepshead Bay,101.5,191.0,False
2013,105,Crotona - Tremont,842.0,1543.0,False
2013,202,Downtown - Heights - Slope,211.0,370.0,False
2013,207,East Flatbush - Flatbush,378.2,766.0,False
2013,303,East Harlem,754.8,559.0,False
2013,204,East New York,567.6,864.0,False
2013,403,Flushing - Clearview,112.8,159.0,False
2013,103,Fordham - Bronx Pk,780.3,1638.0,False
2013,406,Fresh Meadows,130.6,91.0,False
2013,307,Gramercy Park - Murray Hill,97.2,48.0,False
2013,201,Greenpoint,100.3,103.0,False
2013,308,Greenwich Village - SoHo,59.8,22.0,False
2013,106,High Bridge - Morrisania,987.5,1777.0,False
2013,107,Hunts Point - Mott Haven,928.6,1117.0,False
2013,408,Jamaica,455.1,851.0,False
2013,101,Kingsbridge - Riverdale,257.5,160.0,False
2013,401,Long Island City - Astoria,142.5,161.0,False
2013,310,Lower Manhattan,63.5,23.0,False
2013,102,Northeast Bronx,651.5,776.0,False
